,keywords,title,article,score
97,korean air resume,"New Jersey's Navy chief insists North Korean air resume ""the karaoke","   provided every North Korean despot""Last week, the U.S. Navy took control of a North Korean fishing vessel as part of an international effort to remove illicit North Korean ships from global waters.Aboard, North Korea had 50 sailors, many of whom are serving as training ships for the navy's new destroyer, the USS Carl Vinson. North Korea has previously been accused of using such ships for trade and for other purposes, and the U.S. has consistently denied doing so.But on Monday, North Korean state media reported that captains of the new Carl Vinson had ""restated their firm resolve to fully implement... our once-repeated pledge to completely sink this American travesty ship.""The Carl Vinson's deployment comes as the U.S. plans a major naval operation in the region involving destroyers, aircraft, submarines and",2
98,financial squeeze christmas,"Financial squeeze after Christmas period extended, says FTX Chief Executive Stuart 'not the best","   he has seen''The most recent employment data released by the US Bureau of Labor Statistics showed that the unemployment rate has held steady at 7.7% for several months now. And while it is still above pre-Covid levels, it is now six months in and the recovery has been so slow that many investors have written the numbers off. A similar phenomenon is occurring in the banking industry with banks cancelling some of their investments, or pausing new lending altogether.(The failure of cryptocurrencies has put downward pressure on interest rates.)But the squeeze on investors is far more severe than mere record high inflation. Investors are so stretched that they are deferring capital spending and are cutting back on planned capital expenditures to keep cash, rather than on debt, on hand. (This has left cash far more difficult to move around.)There is an inverse relationship between",3
99,higher costs trigger,"Higher costs could trigger tax hikes, says economist – video content creators | Pand","  More than half of the 1,500 UK economists who have signed a letter urging the chancellor to support a Brexit bill have predicted a spike in the price of fuel, spurring higher taxes and turmoil in the markets.The economists warned the cost of meeting future demand for oil, gas and agricultural commodities would be “fascinatingly high”, forcing the government to introduce “slightly more generous” tax powers to fund the transition.But the most pessimistic predictions did not include new taxes on trade – such as new duties on high-value imports, or duties on goods traded through “fast web” companies.The economists’ warning over the UK’s financial position was contained within the short, almost 40-page letter, which urges the chancellor to include new taxes on trade and high-value imports to fund the UK's",3
100,canada sanctions iranian,"Canada sanctions Iranian drone strike suspect after killing two people in Ukraine, Mali border security inspection finds","  Canadian authorities on Friday sanctioned an Iranian national for killing two people in a drone strike in eastern Afghanistan, the International Committee of the Red Cross said.Mahsa Amini Elami died in the strike on Saturday in Kamyaran province's Pashtun areas in northern Afghanistan, Irakli Groudi, the ICRC's Middle East and North Africa director, said during a press briefing. She was a member of the Badakhshan Autonomous Region in the northeast who also had two children.Groudi said Elami's death is one of the victims of the Iranian ""aggression.""Afghanistan is the main entry point for drones used by Russian forces to target infrastructure in western nations such as Poland and the Ukraine, Groudi said. ""These attacks are aimed at disrupting supply chains, disrupting energy supplies, disrupting",4
101,private equity edge,Who has the biggest private equity edge over major players? Matt Hancock argues in Q1,"  As the economy slides into a downturn, the private equity market has been one of the biggest movers in recent months as customers tighten their economic belts. But at what cost? In his new book, Who has the biggest private equity edge over major players? Matt Hancock argues in this podcast episode of the Guardian’s On The Media podcast, running from 23 November, that although there is a big gap between the market’s private equity champions and their public rivals, it is not as deep as people think.There are a number of reasons why this is the case. One is that private equity is much more concentrated and, as the book notes, private equity dominates more than two-thirds of the firms in America with the rest being private equity-related limited partnerships (35%).Second, the boom and bust in asset prices, which is",5
102,buying tvs cars,"How to spend less on TVs and cars at CES 2019 - Budget, Service Fee","  By Leith van OnselenTechnology reporterNovember 17, 2022, 10:41 PMCorsair UK (NASDAQ: CROSSR) is giving members and fans a big Christmas present with its announcement of its annual Budget event.The company is hoping those with a penchant for shopping around for technology will spend a little less this year. The new budget theme is set to infuse the show with some big names, such as Roku and Razer, as well as smaller but equally influential brands like OnePlus and Logitech.All attendees are invited to a three day in-person event in Las Vegas, where Corsair has made a big splash by announcing a partnership with the tech giant to supply its desktop and gaming peripherals. The PC maker is showing off a set of Thunderbolt controllers that can run titles like Forza Horizon 5 and Forza Horizon 6 and a",2
103,world cup boost,Rafael DoAli's World Cup boost has '," Rafael DoAli's World Cup boost has' ’flourishing’ at his old ageIf you’ve spent time on Twitter recently, or even just the app, you’ve probably seen the hashtag “rufadelos” trending again. It’s a pretty typical “hash tag” on Twitter, often used to show someone, often a popular figure, or something relevant is up to the challenge.AdvertisementIn recent weeks, new life has been breathed into both this hashtag and the old, thanks to some fantastic, noteworthy sporting moments, especially for the under-30 age bracket.Some of the highlights of Rafael Nadal’s impressive comeback over the summer, before his retirement in 2020, have also found new life thanks to DoAli on Twitter: getting involved with the world of “endurance”, representing Argentina, and, most recently, inspiring the Olympic",1
104,potential chelsea return,Harry Kane: ‘It was not a given’: England & Eden Hazard,"  … and what it means for the Premier League - liveThe 22-year-old striker has found himself in a race against time to be fit for Tottenham’s vital clash with West Ham on Saturday but admits he’s ‘bitterly disappointed’ if he misses the crucial contest.England’s hopes of qualifying for the World Cup in Qatar hang in the balance with their trip to the Middle East swiftly threatened by a storm of controversy, fuelled by a string of off-the-ball fouls that have seen the Three Lions hammered in their last two games.“I am bitterly disappointed not to be involved, to end this season on a high but for some reason, the timing has been wrong,” Kane told reporters at White Hart Lane.‘I was hoping to be involved this week. It",1
105,student loan defaults,Student loan defaults: How to avoid double glazing and lower interest rates despite floating fees and,"   bills | Jill ColvinPrime Video's Jill Colvin takes you through the top three reasons why you shouldn't give up on student loans.By Marianne FogartyBusiness WriterNovember 16, 2022, 1:11 AMAmerica's student debt is mounting fast if the trends continue.Student debt hit $16.44 trillion by the end of the third quarter of 2022, according to a report from the federal bureau of the bureau of labor statistics. That's compared to just $957 billion in total private student debt collectively, the BLS reports.AdvertisementWith average monthly payments of more than $10,000 and interest rates well beyond 7% on some private loans, a debt of this size is more of a burden than it's a burden of opportunity.While millions of Americans have student loan balances that are more than double their incomes, those",3
106,heroin addict dad,Heroin addict dad says he 'won't get enough' of his drug,"   shared via Facebook after his daughter saved his lifeAlexander was in the grip of a heroin addiction and took the lives of up to 15 people last year, and this year is battling with anxiety to the point it has robbed him of his ability to work, he wrote to his followers on Saturday.His daughter Lotte Griffin, 14, had just made a post about a successful overdose when Alexander, 46, posted a video of himself holding up a pack of Skovwrap and reading aloud what was written on the side of the container: 'Just wanted to let you all know I got my GED yesterday so just wanted to say thanks from a very young age.'Alexander (pictured on his wedding day) decided to share the post as a way to cope with the tragedy which has left his family members thinking he 'lost it'The post said in part: '",4
107,throwing big event,Twitter is throwing a big event to appease a small audience and raise awareness of climate,"   has sent a warning to Musk about the ‘content moderation policies’ on the social media platform. A deluge of replies have asked when the change will happen, and the event will take place on November 14.The most popular question was about the content moderation policies on Twitter, with almost 80 per cent of the replies stating that it will happen before Musk’s paid Twitter Blue subscription starts on 1 November — so the new owner will need to start making preparations already.Meanwhile, users also sent a very clear message to Musk, asking whether he would be willing to cancel the Twitter Blue subscription if Twitter changes its content moderation policies — a clear hint that he will not be inclined to make any concessions at this time.Many users also predicted that Twitter will revert back to its ""official"" style (emoji-laden avatars for tweets) in the",1
108,tool lets daters,The Matchmaking Tool Lets You Date That Brand Easily and Efficiently. It,"   Tries to Match You to the Right Person in the Most Natural Way. You can Try It Out Right Now.|By Ali Gharib Tied to an ugly red button on a dark website, I’m a person who has turned to Matchmaking tool to find matches and connect with people of the same name. I’ve used the thing a few times, and while I absolutely love the tool, Matchmaking isn’t for everyone. I am here to tell you, though, that Matchmaking is, if you can manage to ignore the red border of the matchmaker, a fabulous way to find like-minded people and connect with them, much more efficiently.It’s hard to be charming and persuasive when you’re screaming down at your screen like a mad person, but to be true to yourself",1
109,stand murder trial,"Raab faces murder trial after manchester man, 29, is found guilty of murder in appeal","   Raab, then justice secretary, had been expected to announce the judgement within days but the case was delayed until this week after the Crown Prosecution Service (CPS) requested additional time to consider the appeal.A bench of seven senior judges sitting in London heard on Tuesday that Raab would now face a sentence of life imprisonment with an eligibility period of 25 years, with the last hearing to be held in December 2025.The judge told the jury that Raab's intention in ordering the new trial was not to put a ""permanent end to proceedings"" but to assess the ""vitality and significant progress"" that he had made and to assess the circumstances surrounding the 33-year-old’s arrest two years ago.At the Old Bailey, Harvey pointed out to the Crown Prosecution Service’s repeated assertion that its case",5
110,locks peking university,"The City Locks Peking University’s Corridor, Says Speaker Slams ","   — Nottinghamshire County Council will not allow a pokies machine in its city centre in a bid to “end] the era of open-pit gambling in Nottingham’s central business district” during a three-day event this Thursday.Sarah Innes, who acts as Nottingham City councillor for Ward 3 and chair of the city council’s entertainment, culture and recreation committee, told the Manchester Evening News it was “sad but inevitable” that pokies and slot machines were now commonplace in the central business district. She said that “all roads lead to gambling” in the city and added: “From children begging on pavements to adults trafficking live animals and using them for drugs, this isn’t just a problem that’s in Nottingham.”Nottinghamshire",2
111,seeks games longterm,SKY seeks games in longterm to help its players succeed in MLS —,"  SKY, a leading global esports organization, will launch a special league in the coming months where top players can play against each other. In preparation, SKY has been fielding many prospective games from teams in the US and overseas, including teams from teams that SKY will compete in the next season of the NA Go4CS:GO championship, starting next year.The league will run for the next two years on SKY's own network—Sky Sports Go. It will be split between North America, Europe, and Asia. For the inaugural season, teams will play each other every Sunday in a Best of Three format. At the end of the season, the teams with the most points at the end of the season will qualify to participate in the next season, which will be SKY's.$10,000 - $50,000: The top 16",3
112,stores ransomware attack,"Nearly 5,000 retailers have been hit by ransomware attack, according to researchers –","  The ransomware waves targeting several retail chains this week have had a “catastrophic” impact, almost 5,000 organisations across 28 countries and territories around the world have been warned by cybersecurity software company Check Point. The firms were targeted using a technique known as “direct input validation,” which is used to bypass the endpoint protection mechanisms on eCommerce platforms like Amazon and eBay. Check Point noted that the ransomware attack was “caused by a known, and rapidly evolving, threat group.”At least 57 per cent of the 1,000 organisations identified as being hit by the ransomware threat this week have data on more than 1 million individuals. Check Point warns that further direct input validation attacks are “expected.”Other security experts are warning that the ransomware threat group has become far better at stealing personal and professional data.",5
113,pushing boundaries space,NASA Keeps Pushing the Limits Of Space Components — Even If They’,"   Are Expensive’NASA continues to push the boundaries of what can be done with the human spaceflight hardware on a commercial scale.In the past week alone, NASA has made notable progress with its Commercial Crew Capability (CCCap) contract, and is on track to send the first woman and the first person of color to orbit around the moon — an ambition that’s complicated by a stubborn technical roadblock put in place by Congress.And today at the Association for the Advancement of Science in the Science of Light ceremony, there was more progress being made in Earth's back yard — specifically inside the massive exoskeleton suit known as the International Space Station (ISS).NASA’s European Space Agency (Esa) astronaut, Samantha Cristoforetti, received her NASA patch on Wednesday, with photos flashing across a giant screen of",3
114,oscars silent stars,Hugh Jackman: The Oscars are silent stars. Why they weren't there before,"  A few weeks ago I attended the Los Angeles premiere of Don’t Look Now. As I made my way to the red carpet, a friend texted me, “You look bored. Are the Oscars going to be on TV next year?” I confirmed this with him before bursting into song, “All I Ask”. I was excited, but more than anything I was scared. What if I misheard or misconstrued what the Academy of Motion Picture Arts and Sciences is up to this year?What if the ceremony – which selects the film nominees and the winners – wasn’t telecast live but instead streamed online? What if the acting nominees were chosen via prelims aired on TV after the ceremony? What if the celebrities on stage were the same people nominated for best picture? That, I knew, was the",1
115,xbox game pass,The Xbox Game Pass is the one-size-fits-all solution for your gaming needs,"   By curating content from the best of the best games, Xbox Game Pass is your one-stop shop for everything new and upcoming on Xbox. With Xbox Game Pass, you'll find a wide selection of games exclusive to Xbox Game Pass members, as well as new games and a wide range of previously released games being offered at even lower prices. <|br /><br /><a href=""https://play.xbox.com/gamepass_q3/accesskey?accesskeyid=A27F4FB2F979",3
116,2022 cfl grey,"2022 CFL Grey's Day: Week 4 and Covid, Notions, Sign","  On November 15, 2021, Canadian Football League teams were handed a big day of rest—the start of the 2022 league year. Week 4 of the 2022 regular season is upon us, and while many are already jubilant to be back in the league, those who aren’t have their own unique stories to tell, even if some of them are familiar with the events that transpired before kickoff.For many, the game that Canadians will remember most from that historic first week of the CFL season was last year’s heartbreaking 31-27 loss to the defending champs, the Edmonton Elks. While that game is long gone—the Grey Cup—it’s been far from forgotten, as players, fans, and media continue to recount the path the league was on following that heartbreaking loss.For others, the focus has shifted away",3
117,tech downturn affected,What is the tech downturn affected by? Here's how to react: Can your bank,"   tell you whether you should open an account? | Nandan NilekaniThe Financial TimesWed 16 Nov 2022 12.00 GMT|UpdatedFri 17 Nov 2022 12.00 GMT|Last modified on Wed 16 Nov 2022 14.55 GMTWhen the US Federal Reserve raised the key interest rate three times over the summer, we were told to expect a wave of job losses and economic slowdown. It only seemed likely now that the increase had come at the expense of the economic cycle: a record run of hiring and record incomes had returned us to average levels.So, what went wrong? And what can we do to avoid the next crisis?It's the second time in a year that interest rates have been hiked. In May 2022, the US central bank stopped increasing rates after peak inflation hit 11.7% and set off a chain reaction in",2
118,best horror movies,"Best Horror Movies of All Time – List of Top 10 Most I Used To Watch,","  “|Best Horror Movies of All Time” began as a series of a list compiled by friends that includes what they’d typically find on the internet. But after some time spent searching through various sites, we’ve come up with a winner. If you want to help us decide, vote for your favorites in the comments below!For some time now, I’ve been including recommendations in my list of “best horror movies all time,” because I’ve often found new things to love and explore. In fact, the first time I put together this list was 1999, when I watched The Cabin In The Woods over and over again. So, I felt like putting together a list of what I liked and what I used to watch—sorta a ”best of,” but with",4
